station,site_type,sub_site_type,first_year,last_year,status,lat_dd,lon_dd
670,tributary,,1986,2023,ongoing,43.3429,-72.067
200,lake,deep,1986,2023,ongoing,43.4039,-72.0438
20,lake,cove,1986,2023,ongoing,43.4094,-72.0618
30,lake,cove,1986,2023,ongoing,43.4017,-72.0663
70,lake,cove,1986,2023,ongoing,43.3445,-72.0588
90,lake,cove,1986,2023,ongoing,43.3242,-72.0387
100,lake,cove,1986,2003,inactive,43.3705,-72.0451
110,lake,cove,1986,2023,ongoing,43.4108,-72.0351
210,lake,deep,1986,2023,ongoing,43.3844,-72.0624
835,tributary,,1986,2023,ongoing,43.4142,-72.0355
10,lake,cove,1986,2023,ongoing,43.4264,-72.0624
230,lake,deep,1986,2023,ongoing,43.3359,-72.0422
610,tributary,,1986,2023,ongoing,43.3856,-72.0812
510,tributary,,1986,2023,ongoing,43.4309,-72.0692
505,tributary,,1986,2023,ongoing,43.4304,-72.0679
805,tributary,,1986,2023,ongoing,43.3888,-72.039
790,tributary,,1986,2023,ongoing,43.3697,-72.0387
740,tributary,,1986,2004,inactive,43.3433,-72.043
60,lake,cove,1988,2023,ongoing,43.3679,-72.0736
40,lake,cove,1988,2023,ongoing,43.39,-72.0788
800,tributary,,1988,2023,ongoing,43.3852,-72.0403
675,tributary,,1989,2023,ongoing,43.3421,-72.0668
830,tributary,,1989,2023,ongoing,43.4092,-72.0307
515,tributary,,1989,1999,inactive,43.4286,-72.0702
720,tributary,,1989,2003,inactive,43.3218,-72.0375
540,tributary,,1989,2022,ongoing,43.4143,-72.0653
640,tributary,,1989,2000,inactive,43.3663,-72.0808
515.2,tributary,,1992,2000,inactive,NA,NA
760,tributary,,1992,2023,ongoing,43.3499,-72.0397
715,tributary,,1993,2023,ongoing,43.3233,-72.0412
790.1,tributary,,1993,1994,inactive,NA,NA
680,tributary,,1993,2023,ongoing,43.3407,-72.0731
788,tributary,,1993,2023,ongoing,43.3691,-72.0386
220,lake,deep,1993,2023,ongoing,43.3602,-72.0551
80,lake,cove,1993,2023,ongoing,43.3324,-72.0434
670.5,tributary,,1993,2023,ongoing,43.3449,-72.0745
510.1,tributary,,1993,1993,temporary,NA,NA
