Date,Time,Site,Unit ID,User ID,°C,mbars,DO %,DO mg/L,SPC-uS/cm,pH,NTU,Chl ug/L,Chl RFU,DEP m
8/16/2021,8:33:32,210,PRODSS,,24.1,985.4,97.7,8.21,97.9,,-0.02,-0.09,-0.04,0.387
8/16/2021,8:33:55,210,PRODSS,,24.1,985.2,97.9,8.22,97.9,,-0.04,-0.04,-0.02,0.655
8/16/2021,8:34:25,210,PRODSS,,24.1,985.2,97.8,8.22,97.9,,-0.05,0.17,0.03,1.962
8/16/2021,8:34:47,210,PRODSS,,24.1,985.2,97.7,8.21,97.9,,-0.06,0.1,0.01,3.075
8/16/2021,8:35:10,210,PRODSS,,24.1,985.2,97.8,8.22,97.9,,-0.06,0.17,0.03,4.098
8/16/2021,8:35:37,210,PRODSS,,24.1,985.2,97.8,8.22,97.8,,-0.06,0.14,0.02,5.052
8/16/2021,8:37:30,210,PRODSS,,21.2,985.2,95.6,8.5,98,,0.05,0.76,0.17,6.095
8/16/2021,8:38:27,210,PRODSS,,20.2,985.2,93.5,8.47,97.9,,0.09,0.83,0.19,7.016
8/16/2021,8:39:11,210,PRODSS,,18.7,985.2,90.2,8.42,96.9,,0.15,0.81,0.19,8.081
8/16/2021,8:40:29,210,PRODSS,,15.3,985,91.6,9.18,98.4,,0.14,0.72,0.16,9.107
8/16/2021,8:41:25,210,PRODSS,,12.8,985.2,87.7,9.27,98.7,,0.13,0.66,0.15,10.085
8/16/2021,8:42:22,210,PRODSS,,11.9,985.2,84.2,9.1,99,,0.16,0.4,0.09,11.012
8/16/2021,8:43:35,210,PRODSS,,11,985.2,80.2,8.84,99.1,,0.12,0.2,0.04,12.023
8/16/2021,8:44:20,210,PRODSS,,10.1,985.1,75.4,8.48,99.1,,0.15,0.14,0.02,13.046
8/16/2021,8:45:14,210,PRODSS,,9.8,985.2,73.9,8.39,99.1,,0.14,0.07,0,14.057
8/16/2021,8:46:08,210,PRODSS,,9.4,985.1,72,8.25,99,,0.1,0.08,0.01,15.002
8/16/2021,8:46:56,210,PRODSS,,9.2,985.2,68.7,7.9,99.2,,0.14,0.12,0.02,16.08
8/16/2021,8:47:30,210,PRODSS,,8.9,985,66.7,7.72,99.2,,0.09,-0.03,-0.02,17.044
8/16/2021,8:48:56,210,PRODSS,,8.8,985,63.7,7.4,99.3,,0.08,-0.17,-0.06,18.132
8/16/2021,8:50:00,210,PRODSS,,8.8,985,62.8,7.31,99.2,,0.08,-0.01,-0.02,19.016
8/16/2021,8:50:23,210,PRODSS,,8.7,985.1,62.4,7.27,99.3,,0.07,-0.2,-0.06,20.133
8/16/2021,8:51:27,210,PRODSS,,8.5,985.2,62,7.25,99.2,,0.11,-0.14,-0.05,21.143
8/16/2021,8:52:20,210,PRODSS,,8.5,985,59.2,6.93,99.4,,0.1,-0.22,-0.07,22.164
8/16/2021,8:53:14,210,PRODSS,,8.5,985,58.6,6.86,99.3,,0.09,-0.13,-0.05,23.113
8/16/2021,8:54:01,210,PRODSS,,8.4,985,58.9,6.91,99.3,,0.1,-0.15,-0.05,24.314
8/16/2021,8:54:53,210,PRODSS,,8.4,985,58.5,6.86,99.3,,0.07,-0.19,-0.06,24.758
8/16/2021,8:55:24,210,PRODSS,,8.3,985,57.5,6.76,99.4,,0.09,-0.16,-0.06,26.094
8/16/2021,8:56:11,210,PRODSS,,8.3,985,55.9,6.58,99.4,,0.14,-0.18,-0.06,27.06
8/16/2021,9:03:52,210,PRODSS,,8.2,985,50.7,5.98,99.9,,0.16,-0.19,-0.06,27.981
8/16/2021,9:04:56,210,PRODSS,,8.1,984.9,44.6,5.28,100.3,,0.22,-0.14,-0.05,29.16
8/16/2021,9:05:08,210,PRODSS,,8,985,44.1,5.21,100.6,,120.6,10.77,2.68,30.344
8/16/2021,9:05:36,210,PRODSS,,8,985,43,5.09,100.3,,120.58,2.68,0.66,30.327
8/16/2021,9:51:29,220,PRODSS,,24.3,984.8,97.9,8.19,96.3,,-0.05,-0.03,-0.02,0.62
8/16/2021,9:52:05,220,PRODSS,,24.3,984.8,97.8,8.19,96.4,,-0.06,-0.06,-0.03,0.994
8/16/2021,9:52:30,220,PRODSS,,24.2,984.8,97.8,8.2,96.3,,-0.06,0.04,-0.01,1.933
8/16/2021,9:53:20,220,PRODSS,,24.2,984.8,97.6,8.19,96.1,,-0.02,0.28,0.06,4.093
8/16/2021,9:54:01,220,PRODSS,,24.1,984.8,97.4,8.18,96,,-0.04,0.24,0.05,5.113
8/16/2021,9:54:55,220,PRODSS,,22,984.8,95.1,8.32,96.2,,0.05,0.78,0.18,6.193
8/16/2021,9:55:53,220,PRODSS,,21.2,984.8,93.3,8.28,95.6,,0.07,0.96,0.22,6.947
8/16/2021,9:57:18,220,PRODSS,,19.4,984.9,88.4,8.14,95.8,,0.14,1.01,0.24,8.013
8/16/2021,9:58:21,220,PRODSS,,16,984.9,85.2,8.4,97.7,,0.16,0.67,0.15,9.074
8/16/2021,9:59:22,220,PRODSS,,13.6,984.8,77.3,8.04,98.5,,0.24,0.44,0.09,10.049
8/16/2021,10:00:10,220,PRODSS,,13.1,984.9,75.8,7.98,98.1,,0.19,0.31,0.06,11.092
8/16/2021,10:00:54,220,PRODSS,,12.7,984.8,74.2,7.87,98.1,,0.23,0.24,0.04,12.078
8/16/2021,10:01:35,220,PRODSS,,12.1,984.8,74.4,8,98.2,,0.19,0.01,-0.01,13.061
8/16/2021,10:02:24,220,PRODSS,,11.1,984.8,72.2,7.93,97.9,,0.16,0.07,0,14.166
8/16/2021,10:03:36,220,PRODSS,,10.3,984.8,71,7.97,97.5,,0.15,-0.04,-0.02,15.035
8/16/2021,10:04:07,220,PRODSS,,9.7,984.6,69.9,7.95,97.2,,0.1,0.1,0.01,16.073
8/16/2021,10:05:03,220,PRODSS,,9.1,984.8,64.5,7.44,97.2,,0.1,0.1,0.01,17.081
8/16/2021,10:06:10,220,PRODSS,,8.7,984.8,56.3,6.54,97.2,,0.16,-0.04,-0.03,18.131
8/16/2021,10:06:51,220,PRODSS,,8.5,984.8,55.6,6.5,97.1,,0.1,0.01,-0.01,19.153
8/16/2021,10:08:06,220,PRODSS,,8.2,984.8,49.9,5.87,97.1,,0.09,-0.1,-0.04,19.992
8/16/2021,10:09:17,220,PRODSS,,7.9,984.8,38,4.51,97.6,,0.23,-0.08,-0.04,21.209
8/16/2021,10:10:29,220,PRODSS,,7.8,984.7,30.7,3.66,97.9,,0.32,-0.06,-0.03,22.087
8/16/2021,10:11:49,220,PRODSS,,7.7,984.8,26.5,3.16,98.1,,0.41,-0.01,-0.02,23.083
8/16/2021,10:13:02,220,PRODSS,,7.7,984.8,20.2,2.42,98.8,,0.77,-0.1,-0.04,24.086
8/16/2021,10:14:53,220,PRODSS,,7.6,984.6,13.7,1.64,99.3,,1.39,-0.06,-0.03,24.985
8/16/2021,10:16:34,220,PRODSS,,7.5,984.6,7,0.84,100.5,,299.8,2.35,0.57,26.029
8/16/2021,11:30:48,40,PRODSS,,24.1,984.7,98.6,8.28,97.2,,0.12,-0.03,-0.02,0.444
8/16/2021,11:31:36,40,PRODSS,,24.2,984.7,98.7,8.28,97.3,,0.09,0.01,-0.01,0.963
8/16/2021,11:31:47,40,PRODSS,,24.1,984.7,98.5,8.27,97.3,,0.11,0.07,0,1.972
8/16/2021,11:32:00,40,PRODSS,,23.9,984.6,98.3,8.29,97.3,,0.12,0.22,0.04,2.986
8/16/2021,11:32:29,40,PRODSS,,23.8,984.6,97.6,8.25,97.4,,0.11,0.42,0.09,3.987
8/16/2021,11:32:42,40,PRODSS,,23.3,984.7,97,8.28,97.5,,0.14,0.58,0.13,5.114
8/16/2021,11:33:18,40,PRODSS,,21.3,984.6,96.3,8.54,98.1,,0.19,1,0.23,6.045
8/16/2021,11:33:51,40,PRODSS,,20.7,984.6,94.7,8.49,98.1,,0.2,0.98,0.23,7.055
8/16/2021,11:34:26,40,PRODSS,,19.2,984.7,93.2,8.6,98.5,,0.24,0.94,0.22,8.009
8/16/2021,11:35:01,40,PRODSS,,17.9,984.7,93.6,8.89,98.4,,0.23,0.95,0.22,9.041
8/16/2021,11:36:04,40,PRODSS,,14,984.7,93.4,9.63,99.1,,0.29,0.87,0.2,10.013
8/16/2021,11:37:10,40,PRODSS,,11.8,984.8,85.7,9.28,99,,0.32,0.39,0.08,11.057
8/16/2021,11:37:49,40,PRODSS,,11,984.7,82.2,9.06,98.9,,0.31,0.39,0.08,12.071
8/16/2021,11:38:41,40,PRODSS,,10.3,984.7,79.3,8.89,98.9,,0.31,0.14,0.02,13.11
8/16/2021,11:40:56,40,PRODSS,,9.9,984.6,74.8,8.47,98.9,,0.25,0.12,0.02,14.068
8/16/2021,11:41:23,40,PRODSS,,9.4,984.5,72.8,8.33,99.2,,0.25,0.08,0,15.15
8/16/2021,11:42:16,40,PRODSS,,9.1,984.6,68.7,7.91,99.1,,0.29,-0.05,-0.03,16.135
8/16/2021,11:43:01,40,PRODSS,,9,984.7,66.2,7.65,99.2,,0.29,0.03,-0.01,17.145
8/16/2021,11:43:49,40,PRODSS,,8.9,984.6,65.1,7.53,99.2,,0.27,-0.07,-0.03,18.148
8/16/2021,11:44:44,40,PRODSS,,8.9,984.5,62.6,7.26,99.2,,0.33,-0.11,-0.04,19.157
8/16/2021,11:45:28,40,PRODSS,,8.8,984.5,59.7,6.94,99.3,,0.27,-0.01,-0.02,20.154
