Date,Time,Site,Unit ID,°C,mbars,DO %,DO mg/L,SPC-uS/cm,NTU,Chl ug/L,Chl RFU,DEP m
8/24/2021,10:01:45,1700,PRODSS,23.7,966.5,94.9,8.03,41,0.45,2.44,0.6,0.391
8/24/2021,10:02:05,1700,PRODSS,23.6,966.4,94.7,8.03,41,0.47,2.71,0.66,0.64
8/24/2021,10:02:27,1700,PRODSS,23.4,966.4,94.3,8.02,41.1,0.47,3.09,0.76,1.92
8/24/2021,10:03:30,1700,PRODSS,22.5,966.5,85.6,7.42,42.4,0.76,19.53,4.87,2.945
8/24/2021,10:05:07,1700,PRODSS,17.5,966.5,46.8,4.47,39.9,0.69,3.29,0.81,4.059
8/24/2021,10:06:31,1700,PRODSS,14.2,966.4,30.6,3.14,42.1,0.72,2.21,0.54,5.066
8/24/2021,10:07:14,1700,PRODSS,11.5,966.5,30.3,3.3,40.9,0.5,2.04,0.49,6.076
8/24/2021,10:08:18,1700,PRODSS,9.8,966.6,23.5,2.67,41.8,0.82,1.92,0.46,7.017
8/24/2021,10:09:10,1700,PRODSS,9.1,966.5,22.8,2.63,41.5,0.75,1.7,0.41,8.028
8/24/2021,10:10:08,1700,PRODSS,8.3,966.5,24.1,2.83,41.1,0.65,1.56,0.38,9.11
8/24/2021,10:11:24,1700,PRODSS,8,966.6,20.7,2.45,41.4,1.1,1.24,0.3,10.068
8/24/2021,10:12:07,1700,PRODSS,7.8,966.6,19.7,2.35,41.5,1.34,1.3,0.31,11.145
8/24/2021,10:13:04,1700,PRODSS,7.6,966.5,14.3,1.71,42,2.43,1.07,0.25,12.085
8/24/2021,10:15:46,1700,PRODSS,7.4,966.6,7.6,0.91,42.5,3.32,0.81,0.19,13.079
8/24/2021,10:16:36,1700,PRODSS,7.3,966.6,5.3,0.64,42.8,4.11,0.84,0.19,14.106
8/24/2021,10:17:49,1700,PRODSS,7.3,966.5,1.9,0.23,43.4,5.34,0.74,0.17,15.332
8/24/2021,10:18:51,1700,PRODSS,7.2,966.6,0.5,0.06,44.8,153.02,3.3,0.81,16.842
8/24/2021,10:20:21,1700,PRODSS,7.3,966.7,0,0,43.6,10.29,0.95,0.22,15.951
